1.085,0.7,-0.98
1.26,0.67,-0.98
0.9549999,0.66,-0.98
-0.66,0.66,-1.0525
-0.7399999,0.66,-1.06
-0.92,0.66,-1.1
-1.24,0.7,-1.1
1.22,0.6199999,-0.9924999
1.1,0.635,-1.02
1.06,0.5,-1.11
0.98,0.54,-1.13
1.22,0.3425,-1.26
0.9,0.5,-1.1125
0.9399999,0.38,-1.2525
-0.7399999,0.58,-1.09
-0.7,0.6199999,-1.1275
-0.8899999,0.54,-1.18
-1.26,0.54,-1.21
1.26,0.0525,-1.1
1.26,0.22,-1.245
0.98,0.2325,-1.26
1.26,0.2275,-1.26
1.26,0.3325,-1.26
0.9399999,0.0525,-1.06
0.7225,0.14,-1.1
0.8674999,0.22,-1.22
1.26,0.0175,-1.06
1.155,-0.46,-0.98
1.26,-0.4075,-0.98
0.58,-0.42,-0.9899999
0.18,-0.86,-0.9825
0.18,-0.7399999,-0.98
0.26,-0.8199999,-1.0375
0.18,-0.915,-1.06
0.18,-0.9399999,-1.08
0.22,-0.8199999,-1.075
0.2325,-0.9399999,-1.1
0.2075,-0.9,-1.1
0.2775,-0.86,-1.1
0.22,-0.9,-1.155
0.18,-0.86,-1.1575
0.18,-0.6924999,-1.14
0.22,-0.98,-1.155
1.26,1.06,-0.665
0.92,1.02,-0.66
-0.3,1.1,-0.6874999
-0.3,1.1625,-0.66
-0.42,1.1,-0.6874999
-0.38,1.1625,-0.66
-0.5,1.155,-0.7
-0.9399999,1.1,-0.6874999
-0.7399999,1.1,-0.6824999
-0.66,1.1,-0.6899999
-0.7275,1.18,-0.66
-0.66,1.14,-0.72
-1.18,1.1,-0.6975
-1.2575,1.18,-0.66
-1.26,1.14,-0.6725
-1.235,1.06,-0.7399999
-1.26,1.0025,-0.78
-1.18,0.98,-0.8074999
1.22,0.7,-0.675
1.22,0.7399999,-0.8099999
1.26,0.695,-0.8199999
1.14,0.78,-0.835
1.17,0.66,-0.86
1.22,0.6975,-0.86
1.14,0.7,-0.8874999
1.22,0.7,-0.86
1.02,0.7399999,-0.8625
1.26,0.7399999,-0.8625
1.1475,0.66,-0.9
1.205,0.66,-0.9
1.14,0.6725,-0.9
1.0975,0.7399999,-0.9
1.06,0.66,-0.9524999
1.14,0.66,-0.9424999
1.02,0.7,-0.9449999
0.9,0.7,-0.6975
0.6799999,0.7399999,-0.66
0.9399999,0.7725,-0.66
0.675,0.66,-0.7
0.9,0.7,-0.7
0.9,0.6975,-0.7
0.86,0.7399999,-0.7225
0.7399999,0.78,-0.7075
0.765,0.66,-0.7399999
0.66,0.7025,-0.7399999
0.9,0.7399999,-0.7399999
0.8874999,0.78,-0.7399999
0.7,0.7675,-0.7399999
0.7399999,0.7399999,-0.775
0.7,0.7175,-0.78
0.71,0.78,-0.78
0.66,0.7399999,-0.8099999
0.6774999,0.7,-0.8199999
0.66,0.7275,-0.8199999
0.91,0.7399999,-0.8199999
0.9399999,0.78,-0.8275
0.9399999,0.6849999,-0.86
0.66,0.66,-0.895
0.66,0.79,-0.86
0.9,0.78,-0.8799999
0.98,0.7,-0.9399999
0.6199999,0.66,-0.6899999
0.58,0.6799999,-0.7399999
0.58,0.7,-0.7725
0.6199999,0.7399999,-0.7599999
0.58,0.7075,-0.78
0.6199999,0.66,-0.7975
0.6199999,0.7399999,-0.8049999
0.61,0.7,-0.8199999
0.63,0.7,-0.8199999
0.54,0.725,-0.8199999
0.6,0.78,-0.8199999
0.6199999,0.7875,-0.8199999
0.6,0.7,-0.86
0.6199999,0.7399999,-0.86
0.58,0.7,-0.8824999
0.6025,0.66,-0.9
0.02,0.9399999,-0.7524999
0.18,0.7,-0.9524999
-0.02,0.9399999,-0.78
-0.6199999,0.9,-0.845
-0.7399999,0.78,-0.9775
1.26,0.38,-0.66
1.22,0.63,-0.86
0.98,0.6425,-0.9399999
1.22,0.6475,-0.9399999
1.26,0.6199999,-0.9399999
1.26,0.6199999,-0.9449999
0.7075,0.6199999,-0.7
0.8674999,0.6199999,-0.7399999
0.66,0.46,-0.8049999
0.66,0.6199999,-0.79
0.8799999,0.6199999,-0.8199999
0.6199999,0.5075,-0.66
0.6199999,0.65,-0.7
0.58,0.6199999,-0.7225
1.185,0.02,-0.66
1.26,0.06,-0.6899999
1.1875,0.02,-0.7
1.245,0.02,-0.7
0.0425,0.02,-0.66
-0.14,0.04,-0.66
-1.2225,0.06,-0.66
-1.26,0.025,-0.66
-1.22,0.035,-0.7
-1.26,0.02,-0.7125
-1.22,0.02,-0.7175
1.0325,-0.22,-0.66
1.02,-0.1475,-0.66
1.14,-0.14,-0.67
1.14,-0.09999999,-0.695
1.22,-0.015,-0.66
1.02,-0.06,-0.6774999
1.22,-0.02,-0.66
1.26,-0.02,-0.6675
1.18,-0.24,-0.7
1.1,-0.26,-0.73
1.1325,-0.22,-0.7
0.98,-0.2125,-0.7
1.22,0.01,-0.7
1.06,-0.2975,-0.7399999
1.26,-0.2825,-0.7399999
1.18,-0.255,-0.7399999
1.24,-0.26,-0.78
1.06,-0.2125,-0.78
1.18,-0.205,-0.78
0.98,-0.26,-0.66
0.9549999,-0.18,-0.66
0.86,-0.22,-0.7175
0.86,-0.18,-0.7375
0.9399999,-0.24,-0.7399999
0.9399999,-0.16,-0.7399999
0.8199999,-0.26,-0.8199999
0.66,-0.275,-0.8199999
0.78,-0.3,-0.8699999
0.5,-0.08,-0.66
0.46,-0.14,-0.7449999
0.595,-0.14,-0.78
0.46,-0.26,-0.8724999
0.54,-0.26,-0.8799999
0.5325,-0.3,-0.9
0.02,-0.02,-0.6924999
0.02,-0.115,-0.78
-0.06,-0.02,-0.7225
-0.22,-0.09999999,-0.7424999
-0.14,-0.09999999,-0.7524999
-0.16,-0.06,-0.78
-1.26,-0.02,-0.7
-1.225,-0.02,-0.7399999
1.02,-0.3925,-0.66
1.22,-0.46,-0.675
1.26,-0.38,-0.715
1.26,-0.34,-0.7175
1.1725,-0.38,-0.7399999
1.22,-0.36,-0.7399999
1.1375,-0.42,-0.78
1.195,-0.38,-0.78
1.14,-0.3175,-0.78
1.18,-0.305,-0.78
1.22,-0.3375,-0.8199999
1.26,-0.315,-0.8199999
1.1,-0.42,-0.8625
1.22,-0.42,-0.8774999
1.2025,-0.34,-0.86
1.26,-0.3575,-0.9
1.225,-0.38,-0.9399999
0.5,-0.3125,-0.86
0.54,-0.5,-0.9424999
-0.26,-0.6,-0.66
1.22,1.26,-0.4825
1.26,1.26,-0.475
0.695,0.98,-0.34
0.7,0.98,-0.42
0.9399999,0.98,-0.445
0.7,1.06,-0.43
0.695,1.22,-0.42
0.78,0.985,-0.46
0.7,1.18,-0.465
0.6799999,1.26,-0.46
0.9399999,1.02,-0.5
0.9,1.2375,-0.5
0.6899999,1.14,-0.54
0.9,1.14,-0.59
0.5549999,1.22,-0.34
0.34,1.2275,-0.34
0.54,1.2375,-0.34
0.34,1.26,-0.36
0.5599999,1.26,-0.38
0.3,1.245,-0.38
0.26,1.23,-0.5
0.02,1.26,-0.5125
0.02,1.14,-0.6224999
-0.02,1.26,-0.5175
-0.22,1.14,-0.6249999
-0.42,1.22,-0.5599999
-0.42,1.15,-0.6199999
-0.34,1.145,-0.6199999
-0.9399999,1.26,-0.5475
-0.66,1.165,-0.6199999
-1.245,1.06,-0.34
-1.26,1.075,-0.34
-0.98,1.255,-0.54
-1.26,1.26,-0.5599999
-1.06,1.26,-0.55
-1.1225,1.18,-0.58
-1.0725,1.18,-0.58
-1.1,1.2125,-0.58
-1.1,1.18,-0.6174999
-1.14,1.235,-0.58
-1.26,1.22,-0.6025
-1.1,1.22,-0.6274999
1.26,0.66,-0.4725
